route_mkt,route_short_name,cluster,branch,vehicle_type,line_uniqueness,od
22400,400,הנגב,"ב""ש",בינעירוני,סדיר,להבים/תמר
14457,457,הנגב,"ב""ש",בינעירוני,סדיר,ירושלים/דימונה
10458,458,הנגב,"ב""ש",בינעירוני,סדיר,ירושלים/דימונה
12459,459,הנגב,"ב""ש",בינעירוני,סדיר,דימונה/בית שמש
10138,138,בקעת אונו,חולון,עירוני,סדיר,יהוד מונוסון/ראשון לציון
10559,559,הנגב,"ב""ש",בינעירוני,סדיר,ערד/בית שמש
11570,570,הנגב,"ב""ש",בינעירוני,סדיר,בני ברק/באר שבע
12587,587,הנגב,"ב""ש",בינעירוני,סדיר,שער הנגב/ירוחם
10588,588,הנגב,"ב""ש",בינעירוני,סדיר,שער הנגב/ערד
12589,589,הנגב,"ב""ש",בינעירוני,סדיר,תל שבע/שער הנגב
10660,660,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/מצפה רמון
11669,669,הנגב,"ב""ש",בינעירוני,סדיר,רעננה/באר שבע
10682,682,הנגב,"ב""ש",בינעירוני נגיש,סדיר,באר טוביה/חורה
10684,684,הנגב,"ב""ש",בינעירוני,סדיר,באר טוביה/תל שבע
10687,687,הנגב,"ב""ש",בינעירוני,סדיר,שגב שלום/באר טוביה
10688,688,הנגב,"ב""ש",בינעירוני,סדיר,באר טוביה/ערד
10689,689,הנגב,"ב""ש",בינעירוני,סדיר,ערערה בנגב/באר טוביה
96002,2,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,
92003,3,בקעת אונו,אונו,מיניבוס,סדיר,יהוד מונוסון/רמת גן
82003,3,שרון חולון מרחבי,שרון בינעירוני,מיניבוס,סדיר - מגזר מאושר שבת,טירה/טירה
46022,22,שרון חולון מרחבי,חולון,עירוני,סדיר,חולון/חולון
14026,26,שרון חולון מרחבי,חולון,עירוני,סדיר,חולון/תל אביב יפו
36035,35,שרון חולון מרחבי,חולון,עירוני,סדיר,רמת גן/חולון
36077,77,שרון חולון מרחבי,חולון,עירוני,סדיר,ראשון לציון/חולון
11126,126,שרון חולון מרחבי,חולון,עירוני,סדיר,חולון/תל אביב יפו
22006,6,שרון חולון מרחבי,500,מיניבוס,סדיר,תל אביב יפו/תל אביב יפו
24017,17,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/בית ברל
20036,36,בקעת אונו,חולון,עירוני,סדיר מאושר שבת,תל אביב יפו/אור יהודה
33030,30,שרון,שרון עירוני,עירוני,סדיר,הוד השרון/הרצליה
16115,115,בקעת אונו,חולון,עירוני,סדיר,קרית אונו/תל אביב יפו
19205,205,בקעת אונו,חולון,עירוני,סדיר,יהוד מונוסון/תל אביב יפו
11230,230,שרון,500,עירוני,לילה,כפר סבא/תל אביב יפו
63004,4,שרון חולון מרחבי,שרון בינעירוני,מיניבוס,סדיר - מגזר מאושר שבת,טירה/טירה
27013,13,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,כפר סבא/קלנסווה
25018,18,שרון,שרון בינעירוני,בינעירוני,סדיר,רעננה/סלעית
22020,20,שרון,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/כפר סבא
43022,22,שרון,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/נירית
27023,23,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,בית ברל/קלנסווה
27037,37,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,כפר סבא/כפר ברא
20067,67,שרון,שרון בינעירוני,בינעירוני,קווים מזינים,נירית/ראש העין
17113,113,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,כפר סבא/באקה אל ע'רביה
11118,118,שרון,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/צור יצחק
10600,600,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10601,601,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10602,602,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
13603,603,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10604,604,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10605,605,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10606,606,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10607,607,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
13608,608,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
11609,609,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/רעננה
10610,610,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/כפר סבא
13611,611,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10612,612,שרון חולון מרחבי,נתניה,בינעירוני,סדיר - חרדים,נתניה/בני ברק
10613,613,שרון חולון מרחבי,נתניה,בינעירוני,סדיר - חרדים,נתניה/בני ברק
10614,614,שרון חולון מרחבי,נתניה,בינעירוני,סדיר - חרדים,נתניה/בני ברק
10615,615,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,תל אביב יפו/נתניה
10616,616,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/פתח תקווה
10617,617,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/הרצליה
12619,619,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/רמת השרון
10621,621,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,הרצליה/רמת גן
10623,623,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
10624,624,שרון חולון מרחבי,נתניה,בינעירוני,סדיר - חרדים,נתניה/בית שמש
10650,650,שרון חולון מרחבי,נתניה,בינעירוני,סדיר,נתניה/תל אביב יפו
11231,231,שרון,500,עירוני,לילה,כפר סבא/תל אביב יפו
12123,123,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,תל אביב יפו/קלנסווה
14124,124,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,תל אביב יפו/טירה
15139,139,שרון,שרון בינעירוני,בינעירוני,סדיר,כוכב יאיר/הרצליה
12140,140,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,קלנסווה/פתח תקווה
13142,142,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,כוכב יאיר/פתח תקווה
12145,145,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,כפר סבא/כפר קאסם
13147,147,שרון,שרון בינעירוני,בינעירוני,סדיר,רעננה/רמת השרון
17148,148,שרון,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/תל אביב יפו
12149,149,שרון,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/תל אביב יפו
12178,178,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,תל אביב יפו/חולון
15213,213,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,הרצליה/קלנסווה
27222,222,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/הרצליה
10232,232,שרון,שרון בינעירוני,בינעירוני,עונתי - סדיר,הוד השרון/הרצליה
14248,248,שרון,שרון בינעירוני,בינעירוני,סדיר,הוד השרון/תל אביב יפו
36013,13,שרון חולון מרחבי,חולון,מיניבוס,סדיר,תל אביב יפו/חולון
23012,12,שרון חולון מרחבי,500,עירוני,סדיר,תל אביב יפו/תל אביב יפו
34015,15,בקעת אונו,אונו,מיניבוס,סדיר,אור יהודה/קרית אונו
23070,70,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
10259,259,שרון,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/תל אביב יפו
14298,298,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,בית ברל/אום אל פחם
21072,72,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/רעננה
19047,47,שרון,500,עירוני,סדיר,רעננה/תל אביב יפו
10347,347,שרון,שרון בינעירוני,בינעירוני,סדיר,רעננה/תל אביב יפו
35075,75,שרון,שרון עירוני,עירוני,תלמידים,גבעת ח''ן/רעננה
22077,77,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
17079,79,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
37082,82,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
29084,84,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
32085,85,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
34083,83,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/הרצליה
29091,91,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
44084,84,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
40096,96,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
28097,97,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
25090,90,שרון,500,עירוני,סדיר,הרצליה/תל אביב יפו
23099,99,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
