cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative
בקעת אונו אלעד,15,577,11577,2,1
בקעת אונו אלעד,15,281,12281,2,1
בקעת אונו אלעד,15,446,12446,1,0
בקעת אונו אלעד,15,85,37085,1,0
בקעת אונו אלעד,15,85,37085,2,0
בקעת אונו אלעד,15,279,19279,2,0
שרון,15,99,23099,2,1
שרון,15,231,11231,2,#
שרון,15,48,20048,1,#
שרון,15,65,27065,2,#
שרון,15,17,24017,1,1
שרון,15,17,24017,2,1
שרון,15,2,46002,1,#
שרון,15,39,16039,1,#
שרון,15,39,16039,2,#
שרון,15,8,28008,2,#
שרון,15,98,23098,2,#
שרון,15,228,10228,1,#
שרון,15,91,40091,2,#
שרון,15,112,16112,1,#
שרון,15,5,33005,2,#
שרון,15,32,20032,1,#
שרון,15,32,20032,1,1
שרון,15,32,20032,2,#
הנגב,15,50,19050,2,1
הנגב,15,121,19121,1,#
הנגב,15,28,22028,1,1
הנגב,15,342,15342,2,#
הנגב,15,588,10588,2,#
הנגב,15,352,10352,1,1
הנגב,15,458,10458,1,#
הנגב,15,45,21045,1,#
הנגב,15,160,14160,2,#
הנגב,15,59,16059,2,#
הנגב,15,44,19044,1,#
הנגב,15,70,24070,1,#
הנגב,15,67,16067,1,#
הנגב,15,353,10353,2,2
הנגב,15,371,13371,2,#
הנגב,15,1,61001,2,#
הנגב,15,80,39080,2,5
הנגב,15,142,19142,1,#
הנגב,15,12,43012,1,#
הנגב,15,12,43012,2,#
הנגב,15,5,83005,1,#
הנגב,15,65,18065,1,1
הנגב,15,36,26036,1,#
הנגב,15,352,10352,1,2
הנגב,15,352,10352,2,#
הנגב,15,359,10359,1,#
הנגב,15,359,10359,2,#
הנגב,15,45,21045,2,#
הנגב,15,36,26036,1,1
הנגב,15,80,39080,1,#
הנגב,15,80,39080,2,4
הנגב,15,380,11380,1,#
הנגב,15,64,22064,1,4
הנגב,15,60,23060,2,1
הנגב,15,375,10375,1,#
הנגב,15,348,12348,1,#
הנגב,15,372,13372,1,#
הנגב,15,372,13372,2,#
הנגב,15,46,18046,3,#
בקעת אונו אלעד,15,590,10590,2,0
בקעת אונו אלעד,15,596,10596,1,0
בקעת אונו אלעד,15,974,10974,2,0
בקעת אונו אלעד,15,599,11599,1,0
בקעת אונו אלעד,15,173,15173,2,0
בקעת אונו אלעד,15,285,16285,1,1
בקעת אונו אלעד,15,285,16285,2,1
בקעת אונו אלעד,15,6,47006,1,0
שרון,15,17,45017,1,#
שרון,15,14,51014,1,#
שרון,15,14,51014,2,#
שרון,15,14,52014,1,#
שרון,15,12,56012,2,#
שרון,15,2,46002,3,#
שרון,15,349,12349,2,#
שרון,15,248,14248,1,#
בקעת אונו אלעד,15,6,47006,2,0
בקעת אונו אלעד,15,276,10276,1,0
שרון,15,230,11230,1,#
שרון,15,29,19029,2,#
שרון,15,47,19047,1,#
שרון,15,65,27065,1,#
שרון,15,17,24017,1,#
שרון,15,4,42004,2,1
שרון,15,1,60001,3,3
שרון,15,1,60001,3,4
שרון,15,27,18027,1,#
שרון,15,42,26042,2,#
שרון,15,12,56012,1,#
שרון,15,15,69015,2,#
שרון,15,90,25090,1,#
שרון,15,90,25090,2,#
הנגב,15,25,25025,1,#
הנגב,15,25,25025,2,#
הנגב,15,581,11581,1,#
הנגב,15,589,12589,2,#
הנגב,15,152,16152,2,#
הנגב,15,5,83005,2,1
הנגב,15,160,14160,1,#
הנגב,15,60,23060,1,#
שרון,15,118,11118,1,#
שרון,15,118,11118,2,#
הנגב,15,50,19050,2,#
הנגב,15,70,24070,2,#
הנגב,15,353,10353,1,#
הנגב,15,373,10373,1,#
הנגב,15,458,10458,2,#
הנגב,15,570,11570,1,#
שרון,15,10,26010,2,#
שרון,15,1,60001,3,5
שרון,15,33,31033,2,#
שרון,15,11,35011,1,#
שרון,15,30,33030,1,#
שרון,15,3,42003,2,#
שרון,15,4,42004,3,#
שרון,15,248,14248,2,#
הנגב,15,28,22028,2,#
הנגב,15,56,35056,1,#
הנגב,15,12,43012,3,#
הנגב,15,3,78003,1,#
הנגב,15,3,78003,2,#
הנגב,15,80,39080,2,1
הנגב,15,170,14170,1,#
הנגב,15,10,27010,2,#
הנגב,15,30,21030,2,#
הנגב,15,44,19044,2,#
הנגב,15,50,19050,1,#
הנגב,15,687,10687,2,#
הנגב,15,368,10368,1,#
הנגב,15,144,12144,1,#
הנגב,15,54,19054,3,#
הנגב,15,66,19066,2,#
הנגב,15,353,10353,1,2
הנגב,15,371,13371,1,1
הנגב,15,682,10682,1,#
הנגב,15,386,12386,2,#
הנגב,15,380,11380,2,#
הנגב,15,347,21347,1,#
הנגב,15,3,78003,2,2
הנגב,15,387,12387,1,#
הנגב,15,688,10688,1,#
הנגב,15,688,10688,2,1
הנגב,15,343,11343,2,#
שרון,15,22,43022,2,#
שרון,15,67,20067,2,#
הנגב,15,152,16152,1,#
הנגב,15,37,17037,1,#
הנגב,15,37,17037,3,#
הנגב,15,30,21030,1,#
הנגב,15,62,20062,1,#
הנגב,15,660,10660,1,#
הנגב,15,358,10358,1,#
הנגב,15,373,10373,2,#
הנגב,15,56,35056,2,#
הנגב,15,11,44011,2,#
הנגב,15,1,61001,1,#
הנגב,15,378,10378,1,#
הנגב,15,80,39080,1,2
הנגב,15,80,39080,1,5
הנגב,15,142,19142,2,1
