trip_id,source_trip_id,service_day,catalog_number,sign,direction,alternative,line_id,origin_stop_id,destination_stop_id,day_offset,departure_min,arrival_min,duration_min,vehicle_type_ids,distance_km,existing_flag,custom_json,daily_passengers,weekly_passengers,avg_commuters_per_ride_weekly,low_demand_flag
206,206,unknown,10236,236,2,0,,31313,26956,0,420,485,65,urban,16.302,,,,,,True
207,207,unknown,14256,256,1,0,,35475,25937,0,420,462,42,urban,16.116,,,,,,True
208,208,unknown,14256,256,2,0,,20001,36639,0,420,475,55,urban,16.346,,,,,,True
209,209,unknown,10277,277,1,0,,35628,2000,0,420,525,105,,60.063,,,,,,True
210,210,unknown,10277,277,2,0,,2007,30883,0,420,520,100,,60.455,,,,,,True
211,211,unknown,19279,279,1,0,,35629,36583,0,420,495,75,,23.87,,,,,,True
212,212,unknown,19279,279,2,0,,36583,38586,0,420,489,69,,23.212,,,,,,True
213,213,unknown,11280,280,1,0,,35552,20164,0,420,495,75,,23.308,,,,,,True
214,214,unknown,12281,281,2,0,,61417,30883,0,420,495,75,,40.244,,,,,,True
215,215,unknown,16285,285,1,0,,35628,13116,0,420,520,100,,68.169,,,,,,True
216,216,unknown,11379,379,1,0,,35547,27997,0,420,506,86,,26.52,,,,,,True
217,217,unknown,11436,436,1,0,,20163,31557,0,420,507,87,urban,26.237,,,,,,True
218,218,unknown,11436,436,2,0,,38184,20164,0,420,503,83,urban,24.848,,,,,,True
219,219,unknown,14444,444,2,0,,37528,37015,0,420,514,94,,40.627,,,,,,True
220,220,unknown,47006,6,2,0,,33559,38586,0,440,477,37,,8.583,,,,,,True
221,221,unknown,24004,4,1,0,,35629,30883,0,450,466,16,,5.001,,,,,,True
222,222,unknown,24004,4,2,0,,35628,38586,0,450,466,16,,5.075,,,,,,True
223,223,unknown,69005,5,1,0,,35629,30883,0,450,490,40,,8.079,,,,,,True
224,224,unknown,69005,5,2,0,,35628,38586,0,450,491,41,,8.724,,,,,,True
225,225,unknown,42010,10,3,0,,37538,38924,0,450,460,10,urban,4.0,,,,,,True
226,226,unknown,20036,36,2,0,,31313,25867,0,450,541,91,,17.287,,,,,,True
227,227,unknown,23056,56,2,0,,31052,25867,0,450,548,98,,21.135,,,,,,True
228,228,unknown,14068,68,2,0,,33550,25867,0,450,547,97,,20.664,,,,,,True
229,229,unknown,12180,180,1,0,,35552,20164,0,450,539,89,,21.351,,,,,,True
230,230,unknown,47006,6,2,0,,33559,38586,0,460,505,45,,8.583,,,,,,True
231,231,unknown,70001,1,1,0,,31313,33551,0,480,551,71,urban,15.21,,,,,,True
232,232,unknown,70001,1,2,0,,33550,35315,0,480,558,78,urban,14.884,,,,,,True
233,233,unknown,58002,2,3,0,,31738,31738,0,480,520,40,urban,10.415,,,,,,True
234,234,unknown,92003,3,2,0,,31377,31736,0,480,524,44,minibus,15.13,,,,,,True
235,235,unknown,24004,4,1,0,,35629,30883,0,480,500,20,,5.001,,,,,,True
236,236,unknown,24004,4,2,0,,35628,38586,0,480,507,27,,5.075,,,,,,True
237,237,unknown,69005,5,1,0,,35629,30883,0,480,519,39,,8.079,,,,,,True
238,238,unknown,69005,5,2,0,,35628,38586,0,480,517,37,,8.724,,,,,,True
239,239,unknown,47006,6,1,0,,35629,33559,0,480,514,34,,7.56,,,,,,True
240,240,unknown,47006,6,2,0,,33559,38586,0,480,517,37,,8.583,,,,,,True
241,241,unknown,22007,7,1,0,,26806,31491,0,480,578,98,,16.573,,,,,,True
242,242,unknown,22007,7,2,0,,37538,26807,0,480,577,97,,18.29,,,,,,True
243,243,unknown,37008,8,1,0,,31345,32742,0,480,556,76,urban,19.271,,,,,,True
244,244,unknown,37008,8,2,0,,31377,34063,0,480,566,86,urban,18.924,,,,,,True
245,245,unknown,42010,10,3,0,,37538,38924,0,480,493,13,urban,4.0,,,,,,True
246,246,unknown,34015,15,1,0,,35315,31470,0,480,544,64,minibus,16.789,,,,,,True
247,247,unknown,34015,15,2,0,,31470,35335,0,480,538,58,minibus,16.538,,,,,,True
248,248,unknown,23018,18,1,0,,26945,35335,0,480,553,73,urban,17.749,,,,,,True
249,249,unknown,23018,18,2,0,,35315,26945,0,480,553,73,urban,17.291,,,,,,True
250,250,unknown,40028,28,1,0,,20789,33551,0,480,542,62,urban,16.201,,,,,,True
251,251,unknown,40028,28,2,0,,33550,20788,0,480,556,76,urban,17.273,,,,,,True
252,252,unknown,20036,36,1,0,,20277,35315,0,480,555,75,,17.54,,,,,,True
253,253,unknown,20036,36,2,0,,31313,25867,0,480,573,93,,17.287,,,,,,True
254,254,unknown,21037,37,1,0,,20001,31574,0,480,542,62,urban,18.78,,,,,,True
255,255,unknown,21037,37,2,0,,31581,27997,0,480,556,76,urban,19.037,,,,,,True
256,256,unknown,28055,55,1,0,,20277,33551,0,480,570,90,,19.716,,,,,,True
257,257,unknown,28055,55,2,0,,33550,25867,0,480,585,105,,19.063,,,,,,True
258,258,unknown,23056,56,1,0,,20277,31574,0,480,570,90,,22.068,,,,,,True
259,259,unknown,23056,56,2,0,,31052,25867,0,480,574,94,,21.135,,,,,,True
260,260,unknown,20058,58,2,0,,32771,31738,0,480,565,85,,25.071,,,,,,True
261,261,unknown,21059,59,1,0,,20001,35341,0,480,565,85,urban,18.289,,,,,,True
262,262,unknown,21059,59,2,0,,31313,27997,0,480,573,93,urban,18.79,,,,,,True
263,263,unknown,14068,68,1,0,,20277,33551,0,480,555,75,,20.409,,,,,,True
264,264,unknown,14068,68,2,0,,33550,25867,0,480,570,90,,20.664,,,,,,True
265,265,unknown,15069,69,1,0,,20001,31738,0,480,536,56,urban,14.471,,,,,,True
266,266,unknown,15069,69,2,0,,38160,27997,0,480,558,78,urban,13.999,,,,,,True
267,267,unknown,31075,75,3,0,,31481,35475,0,480,553,73,urban,17.458,,,,,,True
268,268,unknown,23076,76,1,0,,33599,35335,0,480,556,76,urban,15.827,,,,,,True
269,269,unknown,23076,76,2,0,,35315,33598,0,480,547,67,urban,15.606,,,,,,True
270,270,unknown,33077,77,1,0,,31313,31424,0,480,541,61,urban,15.935,,,,,,True
271,271,unknown,33077,77,2,0,,35377,35335,0,480,535,55,urban,15.376,,,,,,True
272,272,unknown,17078,78,1,0,,33599,35335,0,480,548,68,urban,20.953,,,,,,True
273,273,unknown,17078,78,2,0,,35315,33598,0,480,551,71,urban,20.373,,,,,,True
274,274,unknown,37085,85,1,0,,32298,32771,0,480,541,61,,23.868,,,,,,True
275,275,unknown,37085,85,2,0,,32771,31314,0,480,550,70,,23.699,,,,,,True
276,276,unknown,16115,115,1,0,,33550,25867,0,480,574,94,,17.741,,,,,,True
277,277,unknown,16115,115,2,0,,20277,33551,0,480,567,87,,17.818,,,,,,True
278,278,unknown,10137,137,2,0,,14464,15657,0,480,588,108,,9.929,,,,,,True
279,279,unknown,10138,138,1,0,,31344,39943,0,480,567,87,urban,23.767,,,,,,True
280,280,unknown,10138,138,2,0,,31685,31574,0,480,557,77,urban,25.049,,,,,,True
281,281,unknown,13139,139,1,0,,38160,39943,0,480,565,85,urban,26.142,,,,,,True
282,282,unknown,13139,139,2,0,,31685,31738,0,480,595,115,urban,26.47,,,,,,True
283,283,unknown,11168,168,1,0,,22935,33551,0,480,535,55,urban,16.738,,,,,,True
284,284,unknown,11168,168,2,0,,33550,25354,0,480,558,78,urban,15.975,,,,,,True
285,285,unknown,15173,173,2,0,,38160,39590,0,480,532,52,,28.673,,,,,,True
286,286,unknown,11179,179,1,0,,35629,33598,0,480,550,70,,23.581,,,,,,True
287,287,unknown,11179,179,2,0,,33599,38586,0,480,539,59,,23.289,,,,,,True
288,288,unknown,12180,180,1,0,,35552,20164,0,480,571,91,,21.351,,,,,,True
289,289,unknown,19205,205,1,0,,31574,26807,0,480,566,86,,21.244,,,,,,True
290,290,unknown,19205,205,2,0,,26806,31574,0,480,558,78,,20.788,,,,,,True
291,291,unknown,10236,236,1,0,,25358,35335,0,480,544,64,urban,16.679,,,,,,True
292,292,unknown,10236,236,2,0,,31313,26956,0,480,542,62,urban,16.302,,,,,,True
293,293,unknown,14256,256,1,0,,35475,25937,0,480,532,52,urban,16.116,,,,,,True
294,294,unknown,14256,256,2,0,,20001,36639,0,480,521,41,urban,16.346,,,,,,True
295,295,unknown,10277,277,1,0,,35628,2000,0,480,585,105,,60.063,,,,,,True
296,296,unknown,10277,277,2,0,,2007,30883,0,480,580,100,,60.455,,,,,,True
297,297,unknown,19279,279,1,0,,35629,36583,0,480,555,75,,23.87,,,,,,True
298,298,unknown,19279,279,2,0,,36583,38586,0,480,535,55,,23.212,,,,,,True
